Dataset,Metric,Comparison,Test Type,P-value,Significance,Mean_Diff (OPNs - Base),95% CI Lower,95% CI Upper
vehicle,F1,OPNs vs KKM(p),Wilcoxon test,0.001953125,** (p<0.01),0.18199575899404766,0.09442887945060466,0.26956263853749063
vehicle,F1,OPNs vs KKM(l),Wilcoxon test,0.001953125,** (p<0.01),0.23779420537829873,0.13785829669684616,0.3377301140597513
vehicle,F1,OPNs vs KKM(r),Wilcoxon test,0.001953125,** (p<0.01),0.19329299746527534,0.12012140915141342,0.26646458577913723
vehicle,F1,OPNs vs TDEC,Paired t-test,0.012837078281182957,* (p<0.05),-0.1264684293338626,-0.21892174168078893,-0.03401511698693627
vehicle,F1,OPNs vs ZEUS,Wilcoxon test,0.00390625,** (p<0.01),0.11962207566613736,0.03144535432351009,0.20779879700876464
vehicle,F1,OPNs vs IDC,Wilcoxon test,0.009765625,** (p<0.01),-0.18381530334666302,-0.28486729404319855,-0.0827633126501275
hepatitis,F1,OPNs vs EDK,Wilcoxon test,0.001953125,** (p<0.01),0.4030052309161274,0.25961932099650087,0.5463911408357539
hepatitis,F1,OPNs vs MDK,Wilcoxon test,0.001953125,** (p<0.01),0.35013819050543915,0.1960884132229526,0.5041879677879257
hepatitis,F1,OPNs vs CDK,Wilcoxon test,0.001953125,** (p<0.01),0.3395973856798774,0.21988927970984617,0.45930549164990864
hepatitis,F1,OPNs vs KKM(p),Wilcoxon test,0.001953125,** (p<0.01),0.27209490111834206,0.2147844831509761,0.329405319085708
hepatitis,F1,OPNs vs KKM(l),Wilcoxon test,0.001953125,** (p<0.01),0.2975553777066382,0.2940167527765091,0.3010940026367673
hepatitis,F1,OPNs vs KKM(r),Wilcoxon test,0.001953125,** (p<0.01),0.2975553777066382,0.2940167527765091,0.3010940026367673
hepatitis,F1,OPNs vs TDEC,Paired t-test,9.031416743563869e-11,** (p<0.01),0.31539429063180824,0.29415976621370576,0.3366288150499107
hepatitis,F1,OPNs vs ZEUS,Paired t-test,0.0006100758045030791,** (p<0.01),0.2092428962318083,0.11717996836344381,0.3013058241001728
hepatitis,F1,OPNs vs IDC,Wilcoxon test,0.412109375,ns (Not Significant),-0.06868647649609731,-0.21082308061128857,0.07345012761909393
segment,F1,OPNs vs EDK,Paired t-test,9.778273731351945e-08,** (p<0.01),0.4831787690710305,0.41149928757724197,0.5548582505648191
segment,F1,OPNs vs MDK,Paired t-test,1.6369489365285325e-06,** (p<0.01),0.48797392723436095,0.38742351390101887,0.5885243405677031
segment,F1,OPNs vs CDK,Paired t-test,1.9349718571487726e-07,** (p<0.01),0.513920135990855,0.43143640180151394,0.596403870180196
segment,F1,OPNs vs KKM(p),Paired t-test,1.8634142982508986e-06,** (p<0.01),0.2147307249176333,0.16979800394264344,0.25966344589262313
segment,F1,OPNs vs KKM(l),Paired t-test,7.412749512072972e-06,** (p<0.01),0.15292674828398045,0.11514585501432281,0.1907076415536381
segment,F1,OPNs vs KKM(r),Paired t-test,0.00047517689023004604,** (p<0.01),0.09513147669621606,0.05474984017878045,0.13551311321365167
segment,F1,OPNs vs TDEC,Wilcoxon test,0.001953125,** (p<0.01),0.32106316560184606,0.2813903491365299,0.36073598206716223
segment,F1,OPNs vs ZEUS,Paired t-test,1.4491380905629307e-10,** (p<0.01),0.37674324140184606,0.3499992882807881,0.40348719452290405
segment,F1,OPNs vs IDC,Wilcoxon test,0.001953125,** (p<0.01),-0.25331127115252877,-0.2790813203576147,-0.2275412219474429
sonar,F1,OPNs vs EDK,Paired t-test,1.4901431534394704e-07,** (p<0.01),0.2802693358328466,0.23662368482434626,0.3239149868413469
sonar,F1,OPNs vs MDK,Wilcoxon test,0.001953125,** (p<0.01),0.25239423311777764,0.2158348945186695,0.2889535717168858
sonar,F1,OPNs vs CDK,Paired t-test,8.06891576679855e-06,** (p<0.01),0.23781206232748583,0.17844906991785647,0.2971750547371152
sonar,F1,OPNs vs KKM(p),Paired t-test,6.7586314951747335e-12,** (p<0.01),0.26501068223762225,0.25165504360735735,0.27836632086788715
sonar,F1,OPNs vs KKM(l),Wilcoxon test,0.001953125,** (p<0.01),0.35266334393074505,0.2943527986771262,0.4109738891843639
